   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 276,         19338,           19067,           4119,      3169,         735,        566,      1895,           0,        558,         38226,             271,           3305,      37950,        19067,        5563
 277,         19443,           19171,           4143,      3380,         719,        583,      1907,           0,        564,         38503,             271,           3323,      38226,        19171,        5576
 278,         19464,           19191,           4131,      3362,         723,        626,      1905,           0,        609,         38781,             273,           3620,      38503,        19191,        6209
 279,         19523,           19249,           4509,      3283,         730,        646,      1914,           0,        624,         39060,             271,           3704,      38781,        19249,        6164
 280,         19673,           19398,           4520,      3396,         734,        648,      1919,           0,        629,         39340,             274,           3727,      39060,        19398,        6201
 281,         19787,           19511,           4587,      3204,         724,        624,      1925,           0,        627,         39621,             275,           3750,      39340,        19511,        6247
 282,         20023,           19746,           4567,      3314,         741,        642,      1947,           0,        627,         39903,             276,           3787,      39621,        19746,        6345
 283,         20118,           19840,           4595,      3184,         756,        614,      1948,           0,        653,         40186,             276,           3843,      39903,        19840,        6299
 284,         20314,           20035,           4698,      3336,         750,        643,      1956,           0,        635,         40470,             277,           3822,      40186,        20035,        6200
 285,         20320,           20040,           4291,      3633,         750,        634,      1965,           0,        581,         40755,             278,           3566,      40470,        20040,        6003
 286,         20573,           20292,           4307,      3494,         741,        608,      1975,           0,        584,         41041,             278,           3568,      40755,        20292,        5995
 287,         20582,           20300,           4306,      3431,         757,        601,      1989,           0,        586,         41328,             284,           3582,      41041,        20300,        6335
 288,         20603,           20320,           4305,      3373,         753,        595,      1992,           0,        590,         41616,             282,           3599,      41328,        20320,        5999
 289,         20724,           20440,           4430,      3203,         772,        581,      2001,           0,        589,         41905,             284,           3627,      41616,        20440,        6043
 290,         20929,           20644,           4479,      3530,         758,        619,      2013,           0,        596,         42195,             282,           3659,      41905,        20644,        6234
 291,         21152,           20866,           4623,      3412,         771,        638,      2019,           0,        663,         42486,             286,           3836,      42195,        20866,        6136
 292,         21410,           21123,           4621,      3437,         782,        610,      2032,           0,        601,         42778,             287,           3706,      42486,        21123,        6186
 293,         21682,           21394,           4615,      3422,         762,        606,      2036,           0,        602,         43071,             286,           3728,      42778,        21394,        6268
 294,         21843,           21554,           4566,      3653,         780,        666,      2045,           0,        652,         43365,             290,           3767,      43071,        21554,        6278
 295,         21889,           21599,           4598,      3530,         777,        633,      2067,           0,        672,         43660,             291,           3792,      43365,        21599,        6312
 296,         22050,           21759,           4630,      3452,         793,        617,      2050,           0,        608,         43956,             287,           3941,      43660,        21759,        6362
 297,         22113,           21821,           4662,      3665,         776,        638,      2061,           0,        631,         44253,             287,           4094,      43956,        21821,        6401
